Model,RMSE,RMSE Std,R²,R² Std,MAE,MAE Std,Evaluation Time (s)
Elastic Net,0.12305867923223797,0.01505699552358424,0.9014873560842052,0.031248455956389018,0.08152303907577024,0.004688651032157769,0.9704957008361816
Lasso Regression,0.12535374457029297,0.016400776257191912,0.8979805413483122,0.03246987565435905,0.0830175194620262,0.005381132622851318,0.6034054756164551
Gradient Boosting,0.12824892079193714,0.017237849547214718,0.8932788301141589,0.0342022986690776,0.08555110260642988,0.0070987132990131775,17.042659997940063
Ridge Regression,0.12879344369591664,0.016041354503210863,0.8916624102372902,0.036374502692753684,0.08462770489943103,0.0036683699187871135,0.15224933624267578
XGBoost,0.13122495421944164,0.019232994990536927,0.8877335580433083,0.03957231793963009,0.08679330468185105,0.007773635011069378,5.180093050003052
LightGBM,0.13153686410574986,0.013881122348945209,0.888438913957876,0.029434584643991738,0.08744939915118281,0.005755749645666867,3.7585809230804443
Linear Regression,0.1339133843474835,0.018047565262093144,0.8826323457109598,0.041042520197024486,0.08733527611406958,0.004625418062981373,2.908327579498291
Random Forest,0.13668692697996151,0.01633730967087262,0.8794499003279797,0.03377049614941776,0.09169107335553962,0.008009649108667772,49.78273963928223
